,timestamp,customer_id,location,after
17,2019-09-03 07:28:00,tu14,fruit,drinks
18,2019-09-03 07:29:00,tu14,drinks,checkout
0,2019-09-03 07:11:00,tu15,spices,spices
1,2019-09-03 07:12:00,tu15,spices,fruit
2,2019-09-03 07:13:00,tu15,fruit,dairy
3,2019-09-03 07:14:00,tu15,dairy,dairy
4,2019-09-03 07:15:00,tu15,dairy,dairy
5,2019-09-03 07:16:00,tu15,dairy,checkout
0,2019-09-03 07:11:00,tu16,dairy,dairy
1,2019-09-03 07:12:00,tu16,dairy,dairy
2,2019-09-03 07:13:00,tu16,dairy,dairy
3,2019-09-03 07:14:00,tu16,dairy,drinks
4,2019-09-03 07:15:00,tu16,drinks,drinks
5,2019-09-03 07:16:00,tu16,drinks,fruit
6,2019-09-03 07:17:00,tu16,fruit,dairy
7,2019-09-03 07:18:00,tu16,dairy,dairy
8,2019-09-03 07:19:00,tu16,dairy,checkout
0,2019-09-03 07:12:00,tu17,fruit,fruit
1,2019-09-03 07:13:00,tu17,fruit,checkout
0,2019-09-03 07:12:00,tu18,fruit,fruit
1,2019-09-03 07:13:00,tu18,fruit,fruit
2,2019-09-03 07:14:00,tu18,fruit,fruit
3,2019-09-03 07:15:00,tu18,fruit,dairy
4,2019-09-03 07:16:00,tu18,dairy,checkout
0,2019-09-03 07:13:00,tu19,dairy,drinks
1,2019-09-03 07:14:00,tu19,drinks,drinks
2,2019-09-03 07:15:00,tu19,drinks,drinks
3,2019-09-03 07:16:00,tu19,drinks,drinks
4,2019-09-03 07:17:00,tu19,drinks,fruit
5,2019-09-03 07:18:00,tu19,fruit,drinks
6,2019-09-03 07:19:00,tu19,drinks,checkout
0,2019-09-03 07:13:00,tu20,spices,checkout
0,2019-09-03 07:14:00,tu21,drinks,spices
1,2019-09-03 07:15:00,tu21,spices,spices
2,2019-09-03 07:16:00,tu21,spices,drinks
3,2019-09-03 07:17:00,tu21,drinks,drinks
4,2019-09-03 07:18:00,tu21,drinks,drinks
5,2019-09-03 07:19:00,tu21,drinks,checkout
0,2019-09-03 07:14:00,tu22,drinks,drinks
1,2019-09-03 07:15:00,tu22,drinks,checkout
0,2019-09-03 07:14:00,tu23,fruit,fruit
1,2019-09-03 07:15:00,tu23,fruit,fruit
2,2019-09-03 07:16:00,tu23,fruit,checkout
0,2019-09-03 07:14:00,tu24,fruit,spices
1,2019-09-03 07:15:00,tu24,spices,drinks
2,2019-09-03 07:16:00,tu24,drinks,drinks
3,2019-09-03 07:17:00,tu24,drinks,checkout
0,2019-09-03 07:14:00,tu25,dairy,checkout
0,2019-09-03 07:15:00,tu26,spices,spices
1,2019-09-03 07:16:00,tu26,spices,drinks
2,2019-09-03 07:17:00,tu26,drinks,checkout
0,2019-09-03 07:15:00,tu27,spices,spices
1,2019-09-03 07:16:00,tu27,spices,spices
2,2019-09-03 07:17:00,tu27,spices,fruit
3,2019-09-03 07:18:00,tu27,fruit,fruit
4,2019-09-03 07:19:00,tu27,fruit,checkout
0,2019-09-03 07:15:00,tu28,spices,fruit
1,2019-09-03 07:16:00,tu28,fruit,checkout
0,2019-09-03 07:19:00,tu29,fruit,dairy
1,2019-09-03 07:20:00,tu29,dairy,drinks
2,2019-09-03 07:21:00,tu29,drinks,drinks
3,2019-09-03 07:22:00,tu29,drinks,dairy
4,2019-09-03 07:23:00,tu29,dairy,drinks
5,2019-09-03 07:24:00,tu29,drinks,spices
6,2019-09-03 07:25:00,tu29,spices,drinks
7,2019-09-03 07:26:00,tu29,drinks,drinks
8,2019-09-03 07:27:00,tu29,drinks,drinks
9,2019-09-03 07:28:00,tu29,drinks,checkout
0,2019-09-03 07:19:00,tu30,drinks,drinks
1,2019-09-03 07:20:00,tu30,drinks,drinks
2,2019-09-03 07:21:00,tu30,drinks,checkout
0,2019-09-03 07:20:00,tu31,drinks,spices
1,2019-09-03 07:21:00,tu31,spices,drinks
2,2019-09-03 07:22:00,tu31,drinks,fruit
3,2019-09-03 07:23:00,tu31,fruit,fruit
4,2019-09-03 07:24:00,tu31,fruit,drinks
5,2019-09-03 07:25:00,tu31,drinks,drinks
6,2019-09-03 07:26:00,tu31,drinks,drinks
7,2019-09-03 07:27:00,tu31,drinks,drinks
8,2019-09-03 07:28:00,tu31,drinks,drinks
9,2019-09-03 07:29:00,tu31,drinks,drinks
10,2019-09-03 07:30:00,tu31,drinks,fruit
11,2019-09-03 07:31:00,tu31,fruit,fruit
12,2019-09-03 07:32:00,tu31,fruit,checkout
0,2019-09-03 07:20:00,tu32,dairy,drinks
1,2019-09-03 07:21:00,tu32,drinks,drinks
2,2019-09-03 07:22:00,tu32,drinks,checkout
0,2019-09-03 07:21:00,tu33,spices,spices
1,2019-09-03 07:22:00,tu33,spices,spices
2,2019-09-03 07:23:00,tu33,spices,dairy
3,2019-09-03 07:24:00,tu33,dairy,dairy
4,2019-09-03 07:25:00,tu33,dairy,dairy
5,2019-09-03 07:26:00,tu33,dairy,spices
6,2019-09-03 07:27:00,tu33,spices,drinks
7,2019-09-03 07:28:00,tu33,drinks,drinks
8,2019-09-03 07:29:00,tu33,drinks,drinks
9,2019-09-03 07:30:00,tu33,drinks,checkout
0,2019-09-03 07:21:00,tu34,drinks,checkout
0,2019-09-03 07:22:00,tu35,spices,spices
1,2019-09-03 07:23:00,tu35,spices,checkout
0,2019-09-03 07:22:00,tu36,dairy,dairy
1,2019-09-03 07:23:00,tu36,dairy,dairy
2,2019-09-03 07:24:00,tu36,dairy,dairy
3,2019-09-03 07:25:00,tu36,dairy,dairy
4,2019-09-03 07:26:00,tu36,dairy,dairy
5,2019-09-03 07:27:00,tu36,dairy,dairy
6,2019-09-03 07:28:00,tu36,dairy,dairy
7,2019-09-03 07:29:00,tu36,dairy,drinks
8,2019-09-03 07:30:00,tu36,drinks,drinks
9,2019-09-03 07:31:00,tu36,drinks,checkout
0,2019-09-03 07:22:00,tu37,drinks,drinks
1,2019-09-03 07:23:00,tu37,drinks,drinks
2,2019-09-03 07:24:00,tu37,drinks,fruit
3,2019-09-03 07:25:00,tu37,fruit,fruit
4,2019-09-03 07:26:00,tu37,fruit,fruit
5,2019-09-03 07:27:00,tu37,fruit,drinks
6,2019-09-03 07:28:00,tu37,drinks,drinks
7,2019-09-03 07:29:00,tu37,drinks,checkout
0,2019-09-03 07:23:00,tu38,drinks,checkout
0,2019-09-03 07:23:00,tu39,dairy,dairy
1,2019-09-03 07:24:00,tu39,dairy,dairy
2,2019-09-03 07:25:00,tu39,dairy,drinks
3,2019-09-03 07:26:00,tu39,drinks,drinks
4,2019-09-03 07:27:00,tu39,drinks,drinks
5,2019-09-03 07:28:00,tu39,drinks,drinks
6,2019-09-03 07:29:00,tu39,drinks,drinks
7,2019-09-03 07:30:00,tu39,drinks,fruit
8,2019-09-03 07:31:00,tu39,fruit,checkout
0,2019-09-03 07:23:00,tu40,fruit,fruit
1,2019-09-03 07:24:00,tu40,fruit,dairy
2,2019-09-03 07:25:00,tu40,dairy,drinks
3,2019-09-03 07:26:00,tu40,drinks,checkout
0,2019-09-03 07:25:00,tu41,drinks,dairy
1,2019-09-03 07:26:00,tu41,dairy,drinks
2,2019-09-03 07:27:00,tu41,drinks,drinks
3,2019-09-03 07:28:00,tu41,drinks,checkout
0,2019-09-03 07:25:00,tu42,drinks,drinks
1,2019-09-03 07:26:00,tu42,drinks,drinks
2,2019-09-03 07:27:00,tu42,drinks,drinks
3,2019-09-03 07:28:00,tu42,drinks,fruit
4,2019-09-03 07:29:00,tu42,fruit,fruit
5,2019-09-03 07:30:00,tu42,fruit,fruit
6,2019-09-03 07:31:00,tu42,fruit,fruit
7,2019-09-03 07:32:00,tu42,fruit,fruit
8,2019-09-03 07:33:00,tu42,fruit,checkout
0,2019-09-03 07:25:00,tu43,fruit,fruit
1,2019-09-03 07:26:00,tu43,fruit,fruit
2,2019-09-03 07:27:00,tu43,fruit,dairy
3,2019-09-03 07:28:00,tu43,dairy,dairy
4,2019-09-03 07:29:00,tu43,dairy,dairy
5,2019-09-03 07:30:00,tu43,dairy,dairy
6,2019-09-03 07:31:00,tu43,dairy,dairy
7,2019-09-03 07:32:00,tu43,dairy,checkout
0,2019-09-03 07:26:00,tu44,fruit,checkout
0,2019-09-03 07:26:00,tu45,spices,fruit
1,2019-09-03 07:27:00,tu45,fruit,fruit
2,2019-09-03 07:28:00,tu45,fruit,fruit
3,2019-09-03 07:29:00,tu45,fruit,fruit
4,2019-09-03 07:30:00,tu45,fruit,fruit
5,2019-09-03 07:31:00,tu45,fruit,checkout
0,2019-09-03 07:27:00,tu46,dairy,dairy
1,2019-09-03 07:28:00,tu46,dairy,dairy
2,2019-09-03 07:29:00,tu46,dairy,dairy
3,2019-09-03 07:30:00,tu46,dairy,dairy
4,2019-09-03 07:31:00,tu46,dairy,dairy
5,2019-09-03 07:32:00,tu46,dairy,dairy
6,2019-09-03 07:33:00,tu46,dairy,dairy
7,2019-09-03 07:34:00,tu46,dairy,drinks
8,2019-09-03 07:35:00,tu46,drinks,drinks
9,2019-09-03 07:36:00,tu46,drinks,spices
10,2019-09-03 07:37:00,tu46,spices,checkout
0,2019-09-03 07:28:00,tu47,dairy,dairy
1,2019-09-03 07:29:00,tu47,dairy,checkout
0,2019-09-03 07:28:00,tu48,dairy,dairy
1,2019-09-03 07:29:00,tu48,dairy,checkout
0,2019-09-03 07:28:00,tu49,spices,dairy
1,2019-09-03 07:29:00,tu49,dairy,checkout
0,2019-09-03 07:28:00,tu50,drinks,drinks
1,2019-09-03 07:29:00,tu50,drinks,checkout
0,2019-09-03 07:28:00,tu51,dairy,dairy
1,2019-09-03 07:29:00,tu51,dairy,fruit
2,2019-09-03 07:30:00,tu51,fruit,checkout
0,2019-09-03 07:31:00,tu52,drinks,drinks
1,2019-09-03 07:32:00,tu52,drinks,checkout
0,2019-09-03 07:31:00,tu53,fruit,checkout
0,2019-09-03 07:31:00,tu54,drinks,checkout
0,2019-09-03 07:31:00,tu55,dairy,dairy
1,2019-09-03 07:32:00,tu55,dairy,dairy
2,2019-09-03 07:33:00,tu55,dairy,dairy
3,2019-09-03 07:34:00,tu55,dairy,dairy
4,2019-09-03 07:35:00,tu55,dairy,drinks
5,2019-09-03 07:36:00,tu55,drinks,fruit
6,2019-09-03 07:37:00,tu55,fruit,fruit
7,2019-09-03 07:38:00,tu55,fruit,fruit
8,2019-09-03 07:39:00,tu55,fruit,checkout
0,2019-09-03 07:32:00,tu56,drinks,drinks
1,2019-09-03 07:33:00,tu56,drinks,checkout
0,2019-09-03 07:32:00,tu57,spices,spices
1,2019-09-03 07:33:00,tu57,spices,spices
2,2019-09-03 07:34:00,tu57,spices,spices
3,2019-09-03 07:35:00,tu57,spices,spices
4,2019-09-03 07:36:00,tu57,spices,spices
5,2019-09-03 07:37:00,tu57,spices,dairy
6,2019-09-03 07:38:00,tu57,dairy,dairy
7,2019-09-03 07:39:00,tu57,dairy,dairy
8,2019-09-03 07:40:00,tu57,dairy,dairy
9,2019-09-03 07:41:00,tu57,dairy,dairy
10,2019-09-03 07:42:00,tu57,dairy,dairy
11,2019-09-03 07:43:00,tu57,dairy,dairy
12,2019-09-03 07:44:00,tu57,dairy,dairy
13,2019-09-03 07:45:00,tu57,dairy,dairy
14,2019-09-03 07:46:00,tu57,dairy,drinks
15,2019-09-03 07:47:00,tu57,drinks,drinks
16,2019-09-03 07:48:00,tu57,drinks,drinks
17,2019-09-03 07:49:00,tu57,drinks,checkout
0,2019-09-03 07:32:00,tu58,fruit,fruit
1,2019-09-03 07:33:00,tu58,fruit,fruit
2,2019-09-03 07:34:00,tu58,fruit,checkout
0,2019-09-03 07:32:00,tu59,fruit,dairy
1,2019-09-03 07:33:00,tu59,dairy,dairy
2,2019-09-03 07:34:00,tu59,dairy,spices
3,2019-09-03 07:35:00,tu59,spices,drinks
4,2019-09-03 07:36:00,tu59,drinks,checkout
0,2019-09-03 07:35:00,tu60,dairy,fruit
1,2019-09-03 07:36:00,tu60,fruit,fruit
2,2019-09-03 07:37:00,tu60,fruit,checkout
0,2019-09-03 07:35:00,tu61,drinks,drinks
1,2019-09-03 07:36:00,tu61,drinks,drinks
2,2019-09-03 07:37:00,tu61,drinks,drinks
3,2019-09-03 07:38:00,tu61,drinks,drinks
4,2019-09-03 07:39:00,tu61,drinks,spices
5,2019-09-03 07:40:00,tu61,spices,checkout
0,2019-09-03 07:36:00,tu62,drinks,spices
1,2019-09-03 07:37:00,tu62,spices,dairy
2,2019-09-03 07:38:00,tu62,dairy,drinks
3,2019-09-03 07:39:00,tu62,drinks,drinks
4,2019-09-03 07:40:00,tu62,drinks,drinks
5,2019-09-03 07:41:00,tu62,drinks,drinks
6,2019-09-03 07:42:00,tu62,drinks,drinks
7,2019-09-03 07:43:00,tu62,drinks,checkout
0,2019-09-03 07:36:00,tu63,dairy,dairy
1,2019-09-03 07:37:00,tu63,dairy,dairy
2,2019-09-03 07:38:00,tu63,dairy,dairy
3,2019-09-03 07:39:00,tu63,dairy,dairy
4,2019-09-03 07:40:00,tu63,dairy,spices
5,2019-09-03 07:41:00,tu63,spices,drinks
6,2019-09-03 07:42:00,tu63,drinks,checkout
0,2019-09-03 07:36:00,tu64,spices,fruit
1,2019-09-03 07:37:00,tu64,fruit,fruit
2,2019-09-03 07:38:00,tu64,fruit,fruit
3,2019-09-03 07:39:00,tu64,fruit,fruit
4,2019-09-03 07:40:00,tu64,fruit,fruit
5,2019-09-03 07:41:00,tu64,fruit,drinks
6,2019-09-03 07:42:00,tu64,drinks,spices
7,2019-09-03 07:43:00,tu64,spices,spices
8,2019-09-03 07:44:00,tu64,spices,drinks
9,2019-09-03 07:45:00,tu64,drinks,drinks
10,2019-09-03 07:46:00,tu64,drinks,checkout
0,2019-09-03 07:38:00,tu65,dairy,dairy
1,2019-09-03 07:39:00,tu65,dairy,dairy
2,2019-09-03 07:40:00,tu65,dairy,dairy
3,2019-09-03 07:41:00,tu65,dairy,dairy
4,2019-09-03 07:42:00,tu65,dairy,dairy
5,2019-09-03 07:43:00,tu65,dairy,dairy
6,2019-09-03 07:44:00,tu65,dairy,fruit
7,2019-09-03 07:45:00,tu65,fruit,fruit
8,2019-09-03 07:46:00,tu65,fruit,fruit
9,2019-09-03 07:47:00,tu65,fruit,checkout
0,2019-09-03 07:41:00,tu66,drinks,fruit
1,2019-09-03 07:42:00,tu66,fruit,fruit
2,2019-09-03 07:43:00,tu66,fruit,checkout
0,2019-09-03 07:41:00,tu67,dairy,dairy
1,2019-09-03 07:42:00,tu67,dairy,spices
2,2019-09-03 07:43:00,tu67,spices,spices
3,2019-09-03 07:44:00,tu67,spices,drinks
4,2019-09-03 07:45:00,tu67,drinks,fruit
5,2019-09-03 07:46:00,tu67,fruit,fruit
6,2019-09-03 07:47:00,tu67,fruit,drinks
7,2019-09-03 07:48:00,tu67,drinks,checkout
0,2019-09-03 07:41:00,tu68,fruit,checkout
0,2019-09-03 07:41:00,tu69,fruit,fruit
1,2019-09-03 07:42:00,tu69,fruit,fruit
2,2019-09-03 07:43:00,tu69,fruit,checkout
0,2019-09-03 07:42:00,tu70,fruit,drinks
1,2019-09-03 07:43:00,tu70,drinks,drinks
2,2019-09-03 07:44:00,tu70,drinks,drinks
3,2019-09-03 07:45:00,tu70,drinks,drinks
4,2019-09-03 07:46:00,tu70,drinks,drinks
5,2019-09-03 07:47:00,tu70,drinks,checkout
0,2019-09-03 07:43:00,tu71,spices,drinks
1,2019-09-03 07:44:00,tu71,drinks,drinks
2,2019-09-03 07:45:00,tu71,drinks,drinks
3,2019-09-03 07:46:00,tu71,drinks,checkout
0,2019-09-03 07:43:00,tu72,spices,dairy
1,2019-09-03 07:44:00,tu72,dairy,dairy
2,2019-09-03 07:45:00,tu72,dairy,dairy
3,2019-09-03 07:46:00,tu72,dairy,spices
4,2019-09-03 07:47:00,tu72,spices,spices
5,2019-09-03 07:48:00,tu72,spices,spices
6,2019-09-03 07:49:00,tu72,spices,checkout
0,2019-09-03 07:43:00,tu73,fruit,fruit
1,2019-09-03 07:44:00,tu73,fruit,dairy
2,2019-09-03 07:45:00,tu73,dairy,dairy
3,2019-09-03 07:46:00,tu73,dairy,fruit
4,2019-09-03 07:47:00,tu73,fruit,checkout
0,2019-09-03 07:43:00,tu74,fruit,fruit
1,2019-09-03 07:44:00,tu74,fruit,fruit
2,2019-09-03 07:45:00,tu74,fruit,dairy
3,2019-09-03 07:46:00,tu74,dairy,spices
4,2019-09-03 07:47:00,tu74,spices,dairy
5,2019-09-03 07:48:00,tu74,dairy,dairy
6,2019-09-03 07:49:00,tu74,dairy,dairy
7,2019-09-03 07:50:00,tu74,dairy,dairy
8,2019-09-03 07:51:00,tu74,dairy,dairy
9,2019-09-03 07:52:00,tu74,dairy,dairy
10,2019-09-03 07:53:00,tu74,dairy,dairy
11,2019-09-03 07:54:00,tu74,dairy,drinks
12,2019-09-03 07:55:00,tu74,drinks,drinks
13,2019-09-03 07:56:00,tu74,drinks,drinks
14,2019-09-03 07:57:00,tu74,drinks,fruit
15,2019-09-03 07:58:00,tu74,fruit,fruit
16,2019-09-03 07:59:00,tu74,fruit,fruit
17,2019-09-03 08:00:00,tu74,fruit,checkout
0,2019-09-03 07:44:00,tu75,dairy,drinks
1,2019-09-03 07:45:00,tu75,drinks,drinks
2,2019-09-03 07:46:00,tu75,drinks,spices
3,2019-09-03 07:47:00,tu75,spices,dairy
4,2019-09-03 07:48:00,tu75,dairy,dairy
5,2019-09-03 07:49:00,tu75,dairy,drinks
6,2019-09-03 07:50:00,tu75,drinks,drinks
7,2019-09-03 07:51:00,tu75,drinks,drinks
8,2019-09-03 07:52:00,tu75,drinks,drinks
9,2019-09-03 07:53:00,tu75,drinks,fruit
10,2019-09-03 07:54:00,tu75,fruit,fruit
11,2019-09-03 07:55:00,tu75,fruit,checkout
0,2019-09-03 07:44:00,tu76,fruit,dairy
1,2019-09-03 07:45:00,tu76,dairy,dairy
2,2019-09-03 07:46:00,tu76,dairy,dairy
3,2019-09-03 07:47:00,tu76,dairy,dairy
4,2019-09-03 07:48:00,tu76,dairy,dairy
5,2019-09-03 07:49:00,tu76,dairy,dairy
6,2019-09-03 07:50:00,tu76,dairy,dairy
7,2019-09-03 07:51:00,tu76,dairy,checkout
0,2019-09-03 07:44:00,tu77,fruit,checkout
0,2019-09-03 07:46:00,tu78,drinks,drinks
1,2019-09-03 07:47:00,tu78,drinks,fruit
2,2019-09-03 07:48:00,tu78,fruit,fruit
3,2019-09-03 07:49:00,tu78,fruit,fruit
4,2019-09-03 07:50:00,tu78,fruit,dairy
5,2019-09-03 07:51:00,tu78,dairy,dairy
6,2019-09-03 07:52:00,tu78,dairy,dairy
7,2019-09-03 07:53:00,tu78,dairy,dairy
8,2019-09-03 07:54:00,tu78,dairy,checkout
0,2019-09-03 07:46:00,tu79,fruit,checkout
0,2019-09-03 07:46:00,tu80,fruit,fruit
1,2019-09-03 07:47:00,tu80,fruit,fruit
2,2019-09-03 07:48:00,tu80,fruit,fruit
3,2019-09-03 07:49:00,tu80,fruit,fruit
4,2019-09-03 07:50:00,tu80,fruit,fruit
5,2019-09-03 07:51:00,tu80,fruit,fruit
6,2019-09-03 07:52:00,tu80,fruit,fruit
7,2019-09-03 07:53:00,tu80,fruit,spices
8,2019-09-03 07:54:00,tu80,spices,spices
9,2019-09-03 07:55:00,tu80,spices,dairy
10,2019-09-03 07:56:00,tu80,dairy,dairy
11,2019-09-03 07:57:00,tu80,dairy,dairy
12,2019-09-03 07:58:00,tu80,dairy,dairy
13,2019-09-03 07:59:00,tu80,dairy,dairy
14,2019-09-03 08:00:00,tu80,dairy,dairy
15,2019-09-03 08:01:00,tu80,dairy,checkout
0,2019-09-03 07:48:00,tu81,fruit,fruit
1,2019-09-03 07:49:00,tu81,fruit,fruit
2,2019-09-03 07:50:00,tu81,fruit,dairy
3,2019-09-03 07:51:00,tu81,dairy,dairy
4,2019-09-03 07:52:00,tu81,dairy,checkout
0,2019-09-03 07:48:00,tu82,dairy,dairy
1,2019-09-03 07:49:00,tu82,dairy,dairy
2,2019-09-03 07:50:00,tu82,dairy,dairy
3,2019-09-03 07:51:00,tu82,dairy,dairy
4,2019-09-03 07:52:00,tu82,dairy,dairy
5,2019-09-03 07:53:00,tu82,dairy,dairy
6,2019-09-03 07:54:00,tu82,dairy,fruit
7,2019-09-03 07:55:00,tu82,fruit,spices
8,2019-09-03 07:56:00,tu82,spices,spices
9,2019-09-03 07:57:00,tu82,spices,spices
10,2019-09-03 07:58:00,tu82,spices,checkout
0,2019-09-03 07:49:00,tu83,spices,spices
1,2019-09-03 07:50:00,tu83,spices,spices
2,2019-09-03 07:51:00,tu83,spices,dairy
3,2019-09-03 07:52:00,tu83,dairy,checkout
0,2019-09-03 07:50:00,tu84,fruit,fruit
1,2019-09-03 07:51:00,tu84,fruit,checkout
0,2019-09-03 07:50:00,tu85,dairy,checkout
0,2019-09-03 07:50:00,tu86,fruit,checkout
0,2019-09-03 07:50:00,tu87,dairy,dairy
1,2019-09-03 07:51:00,tu87,dairy,dairy
2,2019-09-03 07:52:00,tu87,dairy,dairy
3,2019-09-03 07:53:00,tu87,dairy,drinks
4,2019-09-03 07:54:00,tu87,drinks,drinks
5,2019-09-03 07:55:00,tu87,drinks,drinks
6,2019-09-03 07:56:00,tu87,drinks,drinks
7,2019-09-03 07:57:00,tu87,drinks,fruit
8,2019-09-03 07:58:00,tu87,fruit,drinks
